City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Balkanabat,TM,2021-04-17 21:29:34,39.5108,54.3671,71.46,31,3,4.99
133,Kaeo,NZ,2021-04-17 21:20:08,-35.1,173.7833,61.0,84,25,3.15
134,Torbay,CA,2021-04-17 21:29:35,47.6666,-52.7314,36.0,93,90,14.97
135,Madang,PG,2021-04-17 21:29:35,-5.2246,145.7966,74.21,96,100,5.86
136,Husavik,IS,2021-04-17 21:29:36,66.0449,-17.3389,39.2,93,90,8.05
137,Korla,CN,2021-04-17 21:29:36,41.7597,86.1469,62.26,26,96,5.97
138,Leningradskiy,RU,2021-04-17 21:29:36,69.3833,178.4167,33.28,84,94,10.36
139,Nanortalik,GL,2021-04-17 21:29:37,60.1432,-45.2371,25.66,54,1,31.43
140,Rocha,UY,2021-04-17 21:29:37,-34.4833,-54.3333,63.25,87,11,5.44
141,Nador,MA,2021-04-17 21:29:38,35.174,-2.9287,60.8,77,0,3.69
142,Tahe,CN,2021-04-17 21:29:38,52.3333,124.7333,29.71,82,11,4.27
143,Hithadhoo,MV,2021-04-17 21:29:38,-0.6,73.0833,82.08,63,10,6.04
144,Micheweni,TZ,2021-04-17 21:29:39,-4.9667,39.8333,78.26,88,100,11.25
145,Fort Saint James,CA,2021-04-17 21:29:39,54.4333,-124.25,51.85,79,100,3.04
146,Sinjar,IQ,2021-04-17 21:29:40,36.3209,41.8754,69.69,31,33,4.85
147,Takoradi,GH,2021-04-17 21:29:40,4.8845,-1.7554,81.75,78,40,10.02
148,Kousseri,CM,2021-04-17 21:29:41,12.0769,15.0306,86.0,9,91,3.44
149,Adrar,MR,2021-04-17 21:29:41,20.5022,-10.0711,77.18,20,0,10.38
150,Santa Cruz Do Capibaribe,BR,2021-04-17 21:29:42,-7.9575,-36.2047,73.45,82,99,6.98
151,Kafr Abil,JO,2021-04-17 21:29:42,32.4175,35.6694,71.6,35,23,4.32
152,Marquette,US,2021-04-17 21:29:25,46.5333,-87.6335,42.01,68,99,5.99
153,Mayo,US,2021-04-17 21:29:43,38.8876,-76.5119,57.99,62,90,4.61
154,Kincardine,GB,2021-04-17 21:29:43,56.0667,-3.7167,42.01,93,0,1.14
155,Chitral,PK,2021-04-17 21:29:43,35.8462,71.7858,48.15,57,13,4.03
156,Geraldton,AU,2021-04-17 21:29:44,-28.7667,114.6,64.4,45,61,2.3
157,Longyearbyen,SJ,2021-04-17 21:29:44,78.2186,15.6401,28.4,80,90,25.32
158,Chimore,BO,2021-04-17 21:29:45,-16.9833,-65.1333,78.42,93,4,0.83
159,Noshiro,JP,2021-04-17 21:29:45,40.2039,140.0242,51.8,92,100,6.33
160,Esperance,AU,2021-04-17 21:29:45,-33.8667,121.9,53.6,87,0,11.5
161,Saldanha,ZA,2021-04-17 21:29:46,-33.0117,17.9442,66.2,34,0,8.61
162,Kungurtug,RU,2021-04-17 21:29:46,50.5994,97.5228,32.52,82,99,1.88
163,Sao Filipe,CV,2021-04-17 21:29:47,14.8961,-24.4956,72.73,70,0,12.19
164,Kaitangata,NZ,2021-04-17 21:29:47,-46.2817,169.8464,55.0,73,100,4.0
165,Sesheke,ZM,2021-04-17 21:29:47,-17.4759,24.2968,66.18,55,37,8.34
166,Tilichiki,RU,2021-04-17 21:20:32,60.4667,166.1,23.34,84,95,9.48
167,Touros,BR,2021-04-17 21:29:48,-5.1989,-35.4608,77.0,88,40,5.75
168,Zhuhai,CN,2021-04-17 21:29:49,22.2769,113.5678,75.2,69,40,16.11
169,Yuanping,CN,2021-04-17 21:29:49,38.7153,112.7575,43.5,25,0,2.59
170,Niquelandia,BR,2021-04-17 21:29:49,-14.4739,-48.4597,76.19,70,45,3.22
171,Kharp,RU,2021-04-17 21:29:50,66.8014,65.8081,-4.7,93,24,7.09
172,Acarau,BR,2021-04-17 21:29:51,-2.8856,-40.12,79.54,81,8,13.62
173,Beringovskiy,RU,2021-04-17 21:29:51,63.05,179.3167,32.85,98,100,14.92
174,Kindia,GN,2021-04-17 21:29:51,10.0569,-12.8658,77.25,73,93,4.36
175,Cuiluan,CN,2021-04-17 21:29:52,47.72,128.648,34.83,89,61,2.01
176,Nikolskoye,RU,2021-04-17 21:19:56,59.7035,30.7861,48.2,34,0,8.95
177,Tasiilaq,GL,2021-04-17 21:29:53,65.6145,-37.6368,26.6,86,75,4.18
178,Maragogi,BR,2021-04-17 21:29:53,-9.0122,-35.2225,77.4,85,38,6.33
179,Provideniya,RU,2021-04-17 21:29:53,64.3833,-173.3,29.3,90,97,6.46
180,Fortuna,US,2021-04-17 21:29:54,40.5982,-124.1573,53.6,87,20,16.11
181,Victoria,HK,2021-04-17 21:29:31,22.2855,114.1577,73.99,67,99,20.54
