City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Qandala,SO,80.15,clear sky,11.472000000000001,49.8728,
453,Puerto Baquerizo Moreno,EC,76.89,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
454,Mitsamiouli,KM,80.71,scattered clouds,-11.3847,43.2844,Foyer ADM
459,Tulum,MX,82.0,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
461,Chiplun,IN,76.15,clear sky,17.5333,73.5167,Hotel Reemz
462,Minuri,PH,77.59,overcast clouds,16.535,121.8574,
463,Aswan,EG,75.79,clear sky,24.0934,32.907,Nuba Nile
468,Sinnamary,GF,78.93,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
469,Bac Lieu,VN,83.1,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
470,Bentiu,SS,83.35,broken clouds,9.2333,29.8333,Mandela hôtel
472,Phan Thiet,VN,81.68,broken clouds,10.9333,108.1,Hotel Saigon-PT
475,Sola,VU,89.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
480,Chabahar,IR,79.48,clear sky,25.2919,60.643,هتل گدروشیا
484,Dicabisagan,PH,80.11,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
488,Kuliyapitiya,LK,78.8,few clouds,7.4688,80.0401,Rest House
489,Vikravandi,IN,81.61,scattered clouds,12.0333,79.55,Capital O 67238 Park Regencys
491,Waddan,LY,76.21,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
493,Qui Nhon,VN,80.08,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
494,Palmas,BR,77.0,moderate rain,-10.2128,-48.3603,Hotel Lago da Palma
496,Kita,ML,83.71,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
498,Coahuayana,MX,78.8,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
499,Loandjili,CG,77.0,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
502,Lazaro Cardenas,MX,78.31,clear sky,17.9583,-102.2,Hotel Quinta Antigua
506,Natal,BR,77.0,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
510,Gopalpur,IN,80.19,clear sky,19.2667,84.9167,Gopalpur Palm Resort
511,Sadao,TH,82.4,scattered clouds,6.6388,100.4234,Banana Resort Sadao
513,Hue,VN,80.6,few clouds,16.4667,107.6,Saigon Morin Hotel
515,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
516,Lufilufi,WS,86.0,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
517,Ugoofaaru,MV,83.44,broken clouds,5.6667,73.0,Ungoofaaru Inn
521,Remedios,CU,78.8,few clouds,22.4947,-79.5458,Hostal Yunai
523,Sao Joao Da Barra,BR,75.27,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
526,Jensen Beach,US,82.4,clear sky,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
